plasmid_0;90+,168-,175+,192-,62-,140+,115+
plasmid_1;174+,80-,168+,181+,86+,123+,77+,155+,96-,133+,125+
plasmid_2;174+,126+
plasmid_3;102-,7+,145-,105-,154-,116+,143-,131+,158-,148+,177-,150-,164-
plasmid_4;172+,169+,8+,106-,6+,177-,150-,134+,162-,152+,135-,175-,168+,181+,170+,173+,124-,173-
plasmid_5;103+,167+,88-,171-,149+,130-,178-,150-,40+,147-,15-
plasmid_6;174+,121+,155-,156+,152-,162+,73-
plasmid_7;75+
plasmid_8;174+,113+,192+,175-,168+,181+,170+,173+
plasmid_9;170-,181-,168-,175+,112+
plasmid_10;25+,179-,150-,59-,50+
plasmid_11;85+
plasmid_12;139+
plasmid_13;66+
plasmid_14;174+,151+,152-,160+,99-,137+,100+,144-,159-,149-,171+,97+,184+,185-,157+,119+
plasmid_15;111+
plasmid_16;109+
plasmid_17;83+
plasmid_18;107+,133-,57-
plasmid_19;136+,155-,30-
plasmid_20;9+,138+,147+,161-,150+,177+,146+,154+,114+
plasmid_21;180+,14+,143+,43+,138+,147+,23-,145+,27+,160-,152+,37+,147+,110-,141-,72-,165-
plasmid_22;98-,140+,60-,141-,4-,167+,68+,150+,177+,55-,155-,92-,147+
plasmid_23;44+,142+,38-,176-,157+,153+,150+,178+,104-
plasmid_24;82+,150+,177+,39-
plasmid_25;64-,150+
plasmid_26;150+
plasmid_27;175-,168+,181+,170+
plasmid_28;41+,141+,53+,141+,21+,141+,108-,142+,120+,142+,67-,154+
plasmid_29;19-,185-,157+,26-,141-,28-,143+,1-,182-
plasmid_30;157+,52-
plasmid_31;157+,24-
plasmid_32;157+,69+,141+,118+,133-,48-
plasmid_33;157+,61-
plasmid_34;78+,133+,20-,102+
plasmid_35;133+
plasmid_36;42-,142+,32-,149+,56-
plasmid_37;101-,142-,87+,143+,11-,142-,93-
plasmid_38;18-,143+,71-,145-,13+,183+
plasmid_39;143+,47+,143+,22-,141+,34-
plasmid_40;143+
plasmid_41;91-,142+,33-,142+,63+,137+,74-
plasmid_42;65+,145+,2-,137+,31-,137+,127-
plasmid_43;3+,145+,35-
plasmid_44;145+,79-
plasmid_45;70+,141+,45-
plasmid_46;58+,141+,36+
plasmid_47;17-,141+,54+,163+
plasmid_48;81+,141+
