plasmid_0;122+,270-
plasmid_1;145-,270-,330-,286+,123+,206+,346-,198+,309+,224-,78+,270-,272+,214+,244-,248-,322-,275-,133+,193+,145-,263+,181+
plasmid_2;194-,285+,335+,321-,62-,130+,172+,111+,232-,202-
plasmid_3;253-,39-,129-,61-,270-,330-,286+,214+,314+,246-,248-,322-,275-,153+,148-,174-,261+,253-,124+,333-,211+,293+,228+,217+,236+
plasmid_4;202+,103+,315+,197-
plasmid_5;82+
plasmid_6;314+,246-,88+,206+,346-,198+,309+,224-,99+,224+,310-,198-,347-,87+,136+,69-,305-,135+,79-,272+,214+,314+,224+
plasmid_7;273+,210-,136+,260+,174+,148+,155+,312-,325+,152-,104+,136-,95-,313+,325+
plasmid_8;236-,183-,331-,211+,187-,316-,185+,120-,182-,160+,146-,276+,177+,89+
plasmid_9;64+,172-,270-,330-,286+,214+,314+,246-,248-,92+,190+,146-,158+,131-
plasmid_10;208+,300+,97+,134+,126+,275+,322+,248+,246+,314-,214-,286-
plasmid_11;274+,20-,182-,160+,105+,270-,272+,214+,314+,246-,248-,322-,274+,65+,180+
plasmid_12;195+,83+,254+,281+,277-,284-,247-,230+,258+
plasmid_13;197+,315-,151+,275+,322+,248+,246+,314-,214-,272-,270+,157+,224+,310-,198-,347-,206-,86+,148-,163+,199+,311-,325+,152-,161+,206+
plasmid_14;112+
plasmid_15;148+,94+,163-,148+,37-,128-,147+,264-,192-,266+
plasmid_16;168-,146+,190-,106+,163-,148+,94+,163-
plasmid_17;94+,163-
plasmid_18;94+
plasmid_19;15-,182-,160+,250+
plasmid_20;303+,100+,211+,187-,317+,185+,262-,303+,5-,281+,277-,282-,247-
plasmid_21;211-,332-,101-,211+,187-,317+,185+,262-,303+,223-,239-,257+
plasmid_22;211+,187-,317+,185+,262-,303+
plasmid_23;195+,6-,152+,142+,165+
plasmid_24;227+,55+,152+
plasmid_25;165-,27+,152+
plasmid_26;48+,152+
plasmid_27;167+,110-,152+
plasmid_28;168-,280-,23-,130+,172+
plasmid_29;150-,129+,2-,134+,107-,130+
plasmid_30;194-,305-,135+,33-,213-
plasmid_31;194-,305-,135+,179-
plasmid_32;304+,167-,204-,135+,40-
plasmid_33;70+,134+,66-,313+
plasmid_34;115+,134+,91-,117-,12+,129-,45-,335-
plasmid_35;164+
plasmid_36;195+,324-,227+,166-,302-,262+,185-,317-,187+
plasmid_37;195+,30+,305-
plasmid_38;254-,44+,117+,56-,271+
plasmid_39;117+
plasmid_40;280-,77+,129+,121-
plasmid_41;202+,232+,140+
plasmid_42;202+,232+
plasmid_43;190-,46-,190+
plasmid_44;75+,190+
plasmid_45;159+,190+
