plasmid_0;127+
plasmid_1;196-,88-,177+,135-,63-,193-,140+,183+,51-,168+,169+,196-,180-,40+,192-,140+,185+,90-,144+,164-,98-,140+,184+,65+,172+,123+,109-,134-,112+,150+,91+,174-,168+,96-,135+,43-,129+,22-,59+,129+,13+,164-,154+,161+,185-
plasmid_2;201+,182+,86+,201-,150+,195+,200-
plasmid_3;93-,106-,70+,160+,115-,148+,132-,152+,71-,84+,149-,58+,118-,125+,167-,66-,93-,107-,70+,159+,115-,153+,132-,151-,71-,82+,123-,173-,36-,136-,121+,53+,145+,113+,177+,135-,32+,199-,130+,92+,188-,176-,165+
plasmid_4;165-,176+,188+,67-,122+,167+,126-,118+,89-,141-,81+,146+,175+,101-,194+,140+,185+,111+,174-,168+,169+,196-,179-,108+
plasmid_5;99+,149-,162+,169-,168-,174+,95+,196+,169-
plasmid_6;119+,173+,123+,21-,135+,177-,6+,145+,28-
plasmid_7;119+,173+,123+
plasmid_8;166+,100+
plasmid_9;104+,187-,176-,165+
plasmid_10;78-,9-,129+,35-,183-,140-,193+,63+,135+,177-,12+
plasmid_11;120+
plasmid_12;85+,155+,47+,130-,198-,56+,174-,168+,169+,196-,180-,74+,131+,124-,131-,41+,197+,78-
plasmid_13;114+,172+,123+
plasmid_14;138+,184-,140-,194-,34+
plasmid_15;138+,184-,140-,194-,31-
plasmid_16;72+,179+,196+,169-,168-,174+,73-,201-,150+,195+,200-
plasmid_17;139-,180+,196+,169-,168-,174+,83+,182-
plasmid_18;105+
plasmid_19;106+,93+,66+
plasmid_20;165-,102+,192-,140+,183+
plasmid_21;174+,110+,157+,179+,196+,169-,168-,174+,94+,174-
plasmid_22;87+,163+,45+
plasmid_23;87+,163+,46+
plasmid_24;116+
plasmid_25;166+,38-,136+,55-,129+,25-,199-,130+,17+,146-,75+,135+,177-,19-,145-,143+,166-
plasmid_26;168+,169+,196-,179-
plasmid_27;168+
plasmid_28;150+
plasmid_29;33-,146+,175+,60-
plasmid_30;1-,145+,189+,39-,129+,23-,129+,61-,146+,175+,54-,145+,68+,135+,177-
plasmid_31;154+,77+,198+,130+,50-
plasmid_32;154+
plasmid_33;14-,191-,134+,27+
plasmid_34;11+,191-,134+,4+,135+,177-
plasmid_35;29-,191-,134+
plasmid_36;191-,134+
plasmid_37;178-,203-,3+,133+,76-
plasmid_38;181-,57-,133+,117+,190+
plasmid_39;178-,7-,133+,156+
plasmid_40;26+,133+,128+,166-
plasmid_41;166+,64-,133+
