plasmid_0;186-,137+
plasmid_1;108-,121-,73+,157-,179+,199+,158-,173+,192+,58+,144+,56+,144-,99+,144+,124-
plasmid_2;111+,188+,201+
plasmid_4;117+,174+,168+,197+,165+,195+,72-,88+,105-,190+,131-,37-,138-,122+,175+,168+
plasmid_5;165-,197-,168-,109+,188+,201+,195-,165-,80-,186+,201+
plasmid_6;179+,199+,158-,173+,35+,141+,126+,141-,98+,164-,79+,143+,115+,148-,101+,157-,179+,200+,158-,167+,159-,157-,180+,200+
plasmid_7;195+,201-,183-,114+,195-,165-,197-,76-,63+,183+
plasmid_8;200-,179-,157+,71+,167-,158+,200-,180-,157+,49-,191+,131+,190-,55-,193+,173-,158+,199-,179-
plasmid_10;193-,51+,193+
plasmid_11;87+,188+,201+,195-,165-,197-,168-,130+,174+,168+
plasmid_12;183+,201+,195-,165-,197-,168-,171-,85+
plasmid_13;133-,138+,84-,163-,198-,50+,198+
plasmid_15;180-,157+,110+,183+,201+,195-,165-,197-
plasmid_17;166+,106+
plasmid_18;194-,95+,178-,169-,148-,61-,135+,60+
plasmid_19;194-,95+,178-,169-,148-,150-,181-,154+,182+,90+
plasmid_24;78+
plasmid_25;81+,183+,201+,195-,165-,197-
plasmid_27;68+,157-,180+
plasmid_28;172-,107+,172+
plasmid_29;86+
plasmid_30;102+
plasmid_50;139+,185-
plasmid_52;134+
