contig_name,plasmid_score,chromosome_score,predicted_label
85,0.6056302,0.4807373,Plasmid
139,0.7001808,0.42455834,Plasmid
113,0.6461158,0.8750684,Ambiguous
166,0.9146132,0.71060896,Ambiguous
182,0.89269704,0.25426266,Plasmid
145,0.4363576,0.50318307,Chromosome
1,1.8625138e-05,0.9999825,Chromosome
50,0.03243088,0.9710433,Chromosome
59,0.50970995,0.5564214,Ambiguous
122,0.431104,0.57582986,Chromosome
132,0.53534764,0.5164108,Ambiguous
168,0.09198314,0.95591223,Chromosome
73,0.68665946,0.40148407,Plasmid
124,0.78571576,0.2966984,Plasmid
82,0.48644793,0.5644182,Chromosome
177,0.00083072117,0.99987614,Chromosome
178,0.0041580345,0.9996815,Chromosome
60,0.08633811,0.88668543,Chromosome
109,0.38089415,0.9999896,Chromosome
96,0.67820346,0.29025185,Plasmid
138,0.3430926,0.68204254,Chromosome
108,0.5337662,0.99135804,Ambiguous
169,0.0544807,0.9589946,Chromosome
2,5.7763584e-05,0.9999479,Chromosome
27,0.036714576,0.97067857,Chromosome
160,0.5027051,0.98387885,Ambiguous
114,0.280419,0.7706543,Chromosome
119,0.022619588,0.99937385,Chromosome
131,0.9771727,0.22150394,Plasmid
163,0.9682782,0.06950072,Plasmid
39,0.07750901,0.97448915,Chromosome
143,0.5757866,0.98494154,Ambiguous
165,0.9509527,0.60160166,Ambiguous
123,0.697884,0.36794007,Plasmid
110,0.8046104,1.0,Ambiguous
183,0.95288837,0.18078,Plasmid
154,0.96100634,0.46900672,Plasmid
49,0.00097280805,0.9994954,Chromosome
16,3.509845e-05,0.9999815,Chromosome
173,0.0066428785,0.99895823,Chromosome
54,0.8189929,0.19960402,Plasmid
98,0.70322186,0.38117597,Plasmid
161,0.96107054,0.90656596,Ambiguous
81,0.07441923,0.9331579,Chromosome
30,0.003148801,0.9973959,Chromosome
126,0.4916655,0.94380057,Chromosome
24,0.006456313,0.99609154,Chromosome
175,0.53858984,0.9681153,Ambiguous
112,0.50294644,0.9994461,Ambiguous
40,0.04256746,0.97204113,Chromosome
20,0.001614564,0.99891627,Chromosome
37,0.027280938,0.98110515,Chromosome
74,0.05012344,0.9577797,Chromosome
12,0.0005086285,0.9996543,Chromosome
47,0.035699956,0.96671426,Chromosome
87,0.55793184,0.4568211,Plasmid
180,0.72937405,0.6248846,Ambiguous
179,0.6858199,0.8821795,Ambiguous
86,0.18988685,0.8114661,Chromosome
140,0.7260356,0.99142647,Ambiguous
90,0.4019766,0.6657678,Chromosome
144,0.72975594,0.9731644,Ambiguous
5,5.577828e-05,0.9999621,Chromosome
19,0.0019236021,0.99856985,Chromosome
75,0.16507961,0.8555025,Chromosome
117,0.9779926,0.24158989,Plasmid
35,0.033134896,0.96895546,Chromosome
155,0.51957875,0.8834714,Ambiguous
162,0.109740354,0.93085784,Chromosome
45,0.003218047,0.9975169,Chromosome
118,0.7303975,0.978464,Ambiguous
129,0.72049534,0.86812764,Ambiguous
4,0.00015191188,0.9998739,Chromosome
