plasmid_0;139+,288+
plasmid_1;168+,213-
plasmid_2;121+
plasmid_3;249+,288+,235-,240+,103-,157-,287-,219+,165+,202+,251-,231+,180-,220-,101+,285+,299-,62+,52-,210+
plasmid_4;278-,277+,2+,91+,22+,91-,28-,91+,85+,91-,65-,91+,59-,91+,60+,91+,45+,91+,69+,232-,129+,125-,50-,223+,135+
plasmid_5;150+,212-,91+,45+,91+,69+,232-,129+,125-,50-,223+,135+
plasmid_6;269+,262-,160-,76-,211-,47+,124+
plasmid_7;228-,237+,181+,120+,150-
plasmid_8;219+,164+,202+,252+,231+,179+,220-,96+,207+
plasmid_9;96+,207+
plasmid_10;228-,238-,181+,130-,71-,66+,119+,64+,95+,4+
plasmid_11;208+,67-,214+,94+,89-,88+,80-,138-,81+,153-,183-,217-
plasmid_12;142-,158+,144-,162+,191-,298+,140-,267-,197-,87+,116-
plasmid_13;51+,72-,117+
plasmid_14;116+,98+,197+,268+,140+,297-,191+,161+,144+,159+,142+
plasmid_15;98+
plasmid_16;199+,21-,62-,299+,274-,302-,204-,265-,73-,40+,160+,262+,269-
plasmid_17;62-,299+,274-,302-,204-,264-,73-,31+,223+,137+
plasmid_18;113+,276-,227-,83+,222-,244+,217+,184+,153+,79-
plasmid_19;113+,275-,227-,84+,222-,245-,217+
plasmid_20;84+
plasmid_21;210-,46+,235+
plasmid_22;208+,48+,138-
plasmid_23;235-,240+,105+,157-,286+
plasmid_24;133+,301-,24+
plasmid_25;216+,160-,54+,90+
plasmid_26;216+,160-,35+,209+,17+,155-
plasmid_27;216+,160-,75+,160+
plasmid_28;216+
plasmid_29;62-,16-,177-,36-,72+,14-,71+,42+,63-,71-,171-,8-,112+,259-,99-,239-,152-,194-,295+,273+
plasmid_30;150+,212-,91+,15-,61+,43+,171+,71+,63+,1+,72+,27+
plasmid_31;70+,154+,236-,56+,266-,192+,11-,119+,95+,6+,63-,71-,171-,247+,124+
plasmid_32;70+,176+
plasmid_33;145+,290-,93+,255-,186-,53+,178+,108-,107+,171+,63+,9-,95-,119-,39-,171+
plasmid_34;171+,63+,57+,106+
plasmid_35;133+,301-,10+,61+,68+
plasmid_36;61+,68+
plasmid_37;230-,188+,106+
plasmid_38;154+,236-,56+,266-
plasmid_39;56+,266-
plasmid_40;102+
plasmid_41;133+,301-,74-
plasmid_42;133+,301-,3-,114-,257-,90-,18-,225-,250-,203-
plasmid_43;198+,34+,111+
plasmid_44;111+
