plasmid_0;129-,98-,97+,87+,174+,170-
plasmid_1;150+,221+,119-,222-,108+,223-,119+,187+,202+,131-
plasmid_2;133-,167-,212-,134-,74-,207+,162-,193+,142+,229+,136+,76+
plasmid_3;136-,118+,68+,162-,188+,142+,104+,105+,122+
plasmid_4;205+,162-,188+,142+,58+
plasmid_5;142+,113-,162-,188+,142+,82+,154-
plasmid_6;178+,151+,186-,224-,217+,111-,205+,162-,188+,142+,57+
plasmid_7;178+,55-,103-,33+,136-,118+,40+,142-,188-
plasmid_8;147+,59+,91+,77-
plasmid_9;178+,151+,186-,224-,216-,75-,136-,118+,80+,178-
plasmid_10;170+,173+,194-,41-,150-
plasmid_11;143+,203-,164+,128+
plasmid_12;206-,101+,109-,72+,181+,175+,178-
plasmid_13;147+,165-,149+,93+,123+,214+,132+,117-,92-,86+
plasmid_14;64+,123+,214+,132+,213+
plasmid_15;88+
plasmid_16;81+
plasmid_17;154+,185+,151+,186-,224-,216-,30+
plasmid_18;208+,5+,73+,112-
plasmid_19;188+,142+,127+,100+
plasmid_20;102+
plasmid_21;166-,164+
plasmid_22;149+,86+
plasmid_23;213-,132-,171-,197-,141-,184-,124+,206+
plasmid_24;150+,219+,69+,110+,120+
plasmid_25;216-,54+,109-,11-,110+,27+,105-,24-,110-,6+,218-
plasmid_26;18-,110+,13-,110-,34-
plasmid_27;177+,7-,110+,9+
plasmid_28;191-,70-,110+,25-
plasmid_29;22-,105+,23-,110+,51+,218-
plasmid_30;95-,103+,26-,110+,20+
plasmid_31;110+,62+,177-
plasmid_32;110+
plasmid_33;112+,146-,97+,182-,97+,49+,224+
plasmid_34;63+,109+,71-,91+,37+,181+,192-,107-,29-,222+,119+,187+,145+,142-
plasmid_35;78+,107-,90+,109+
plasmid_36;15-,107+,43+,195+
plasmid_37;112+,56+,107+,19-
plasmid_38;207-,118+,42-,106+,50+
plasmid_39;1+,202-,187-,119-,222-,35-,106+,53-
plasmid_40;38+,137+,99-,103+,115-,106+
plasmid_41;142+
plasmid_42;112+,225-
plasmid_43;129-,211-,67-,103+,60+
plasmid_44;223-,119+
