plasmid_0;90+,168-,175+,192-,62-,140+,115+
plasmid_1;174+,80-,168+,181+,86+,123+,77+,155+,96-,133+,125+
plasmid_2;57+,133+,118-,141-,53-,141-,21-,141-,72-,98-,140+,60-,141-,22+,143-,131+,158-,148+,177-,150-,134+,162-,152+,135-,175-,168+,181+,170+,173+,124-,173-
plasmid_3;174+,126+
plasmid_4;103+,167+,88-,171-,149+,130-,178-,150-,164-
plasmid_5;174+,121+,155-,156+,152-,162+,73-
plasmid_6;75+
plasmid_7;174+,113+,192+,175-,168+,181+,170+,173+
plasmid_8;170-,181-,168-,175+,112+
plasmid_9;85+
plasmid_10;25+,179-,150-,59-,50+
plasmid_11;139+
plasmid_12;166-,10-,149-,171+,97+,184+,185-,157+,119+
plasmid_13;102-,7+,145-,105-,154-,116+,143-,18+,157-,185+,184-,136+,155-,30-
plasmid_14;109+
plasmid_15;83+
plasmid_16;66+
plasmid_17;107+,133-,48-,144+,100-,137-,99+,160-,152+,151-,174-
plasmid_18;111+
plasmid_19;152+,95+,160-,152+,37+,147+,40-,150+,177+,6-,106+,8-,169-,172-
plasmid_20;160-,152+,95+
plasmid_21;9+,138+,147+,161-,150+,177+,19-
plasmid_22;180+,14+,143+,43+,138+,147+,23-,145+,27+,160-
plasmid_23;166-,76-,147+,110-,141-,4-
plasmid_24;92-,147+
plasmid_25;165-,171-,149+,56-,185-,157+,69+,141+,36+,158+,61+,157-,176+,38+,142-,44-
plasmid_26;68+,150+,177+,39-
plasmid_27;182-,185-,157+,153+,150+
plasmid_28;175-,168+,181+,170+
plasmid_29;1+,143-,87-,142+,32-,149+,159+,144+,41+,141+,108-,142+,120+,142+,67-,154+,114+
plasmid_30;146+,154+
plasmid_31;149+,45+,141-,28-,143+,11-,142-,42+,154+
plasmid_32;157+,52-
plasmid_33;157+,24-
plasmid_34;157+,91-,142+,101+
plasmid_35;49-,144+,12+
plasmid_36;143+,47+,143+,71-,145-,3-
plasmid_37;93+,142+,63+,137+,31-,137+,127-
plasmid_38;84+,137+,89+,142+,33-,142+,17-,141+,26+
plasmid_39;184-,65+,145+,2-,137+,29+
plasmid_40;183-,13-,145+,79-
plasmid_41;145+,35-
plasmid_42;145+
plasmid_43;70+,141+,34-
plasmid_44;54+,163+,81+,141+
