plasmid_0;80-,154+,3+,133+,106+
plasmid_1;169+,125-,169+,60+,18+
plasmid_2;163-,185+,123+,151+,148-,111-,186+,172+,171-
plasmid_3;171+,172-,189-,61-,139+,150+,148-,178-,147-,186+,172+
plasmid_4;96+,160-,82-,130-,107+,167+,164-,175-,68-,167+
plasmid_5;26-,150+,148-,191-,49+
plasmid_6;87+,138-,66+,165+,162+,156+,75+,167+,164-,175-,59+,149-,141+,194+,135-,6+
plasmid_7;176-,127-,134+,7-,150+,148-,191-,85-,159-,72-,167+,164-,176-,57+,166+,164-,175-,59+,149-,131+
plasmid_8;176-,57+,166+,164-,176-,84+
plasmid_9;159-,128-,159-,91+,159+
plasmid_10;163-,180-,24+,156-,162-,2-,160-,55+
plasmid_11;77+,129-,83+,179+
plasmid_12;190+,29-,138+,90+,186+,172+,171-
plasmid_13;163-,124+
plasmid_14;174-,190+,100+
plasmid_15;137+
plasmid_16;161-,173+,112+,176+,164+,167-,68+
plasmid_17;171+,81+,190-,174+
plasmid_18;73+
plasmid_19;136+,31+,135+,194-,34+,120+,161+
plasmid_20;126+
plasmid_21;140+
plasmid_22;149+,36-,195+,135-,30-,183+
plasmid_23;162+,76+,133+,43-
plasmid_24;133+
plasmid_25;156+,33+,145+,99+,177+,173-,161+
plasmid_26;113+,191+,148+,150-,116-,145+,41+,122+,48+
plasmid_27;145+,54+,190-
plasmid_28;145+,70-
plasmid_29;145+
plasmid_30;157-,181-,21-,122+,32+
plasmid_31;122+,32+
plasmid_32;47+,135+,194-,16+
plasmid_33;105-,135+,193+,22-
plasmid_34;180-,78+,135+,188-,64+
plasmid_35;153-,69+,135+,194-,5-
plasmid_36;27-,178+,148+,150-,102+,135+,193+,109-
plasmid_37;190+,63+,135+,188-
plasmid_38;196-,86-,135+,194-
plasmid_39;135+,193+
plasmid_40;110-,138+,52+,134+,1-,197-
plasmid_41;50+,119+,88+,134+,46+,192+,129+,71+,184+,157+
plasmid_42;186-,62+,134+,67-,177+
plasmid_43;134+,118-,156-
plasmid_44;138+
plasmid_45;159+
plasmid_46;129+,42+
plasmid_47;56+,192+,129+,19-
plasmid_48;129+,144+
plasmid_49;40+,119+,45-
plasmid_50;119+
plasmid_51;165-,39-,166+,164-
plasmid_52;166+,164-
plasmid_53;114+,167+,164-
plasmid_54;167+
plasmid_55;12-,182+,157+
plasmid_56;97+,182+,157+
plasmid_57;20-,184+,157+
plasmid_58;157+
