plasmid_0;80-,154+,3+,133+,106+
plasmid_1;169+,125-,169+,60+,18+
plasmid_2;163-,185+,123+,151+,148-,111-,186+,172+,171-
plasmid_3;171+,172-,189-,61-,139+,150+,148-,178-,147-,186+,172+
plasmid_4;96+,160-,82-,130-,107+,167+,164-,175-,59+,149-,141+,194+,135-,6+
plasmid_5;96+,160-,55+
plasmid_6;26-,150+,148-,191-,49+
plasmid_7;165-,39-,166+,164-,176-,127-,134+,7-,150+,148-,191-,85-,159-,91+,159+,128+,159+
plasmid_8;160+,2+,162+,156+,75+,167+,164-,176-,57+,166+,164-,175-,68-,167+
plasmid_9;159-,72-,167+,164-,176-,57+,166+,164-,175-,59+,149-,131+
plasmid_10;87+,138-,66+,165+,162+,156+,33+,145+,41+,122+,35+,153+
plasmid_11;166+,164-,176-,84+
plasmid_12;174-,190+,100+
plasmid_13;163-,124+
plasmid_14;140+,130+,77+,129-,192-,46-,134-,88-,119-,50-
plasmid_15;137+
plasmid_16;190+,29-,138+,90+,186+,172+,171-
plasmid_17;73+
plasmid_18;112+,176+,164+,167-,68+
plasmid_19;171+,81+,190-,174+
plasmid_20;97-,191+,148+,150-,28-,136+,31+,135+,194-,34+,120+,161+
plasmid_21;115+
plasmid_22;126+
plasmid_23;149+,36-,195+,135-,30-,183+
plasmid_24;176+,164+,167-,114-
plasmid_25;164+,167-
plasmid_26;162+,76+,133+,43-
plasmid_27;133+
plasmid_28;27-,178+,148+,150-,116-,145+,99+,177+,173-,161+
plasmid_29;145+,54+,190-
plasmid_30;145+,70-
plasmid_31;145+
plasmid_32;38+,136+,65-
plasmid_33;157-,181-,21-,122+,32+
plasmid_34;122+,32+
plasmid_35;110-,138+,52+,134+,1-,197-
plasmid_36;138+
plasmid_37;47+,135+,194-,16+
plasmid_38;105-,135+,193+,22-
plasmid_39;163-,180-,78+,135+,188-,64+
plasmid_40;153-,69+,135+,194-,5-
plasmid_41;17+,187+,148+,150-,102+,135+,193+,109-
plasmid_42;190+,63+,135+,194-
plasmid_43;196-,86-,135+,188-
plasmid_44;135+,193+
plasmid_45;186-,62+,134+,67-,177+
plasmid_46;134+,118-,156-,162-,165-
plasmid_47;159+
plasmid_48;179-,83-,129+,42+
plasmid_49;56+,192+,129+,19-
plasmid_50;129+,71+,184+,157+
plasmid_51;40+,119+,45-
plasmid_52;119+
plasmid_53;167+
plasmid_54;165+,162+,156+,14-,200+
plasmid_55;165+,162+,156+,24-,180+,163+
plasmid_56;165+,162+,156+,79-,180+,163+
plasmid_57;162+,156+
