plasmid_0;186-,58+
plasmid_1;176+,157-,335-,290-,23+,166+,179-,161-,56+,72+,17+
plasmid_2;187-,171-,106-,63+,193-,302-,109+,248-,222-
plasmid_3;49+,140+,70-
plasmid_4;140+,70-
plasmid_5;235+,292+,308-,30+,225+,283-,241+,196-,376-,300+,27+,161+,179+,166-,38-,166+,336-,214+,161-,57-,67+,121+,216-,93-,100-,275-,116-,237+,54-,178+
plasmid_6;235+,292+,308-,16+,161+,179+,166-,35+,71+,31-,188-
plasmid_7;70+,136+,353+,268+,137-,147-
plasmid_8;136+,353+,268+,61+,178+
plasmid_9;138+,66-,65+,42+,73+,62+,67-,44-,89+,50+,201-,181-,343+,337-,293+,122+
plasmid_10;138+,76-,215+,101+,328+,97-,65+,11-,221+,175-
plasmid_11;86+,45+,86-,100+,93+,216+,34-,201-,181-,343+,338-,293+,122+
plasmid_12;95-,362-,372+,341+,254-,4+,86-,100+,93+,216+,40-,207-,84-,240-,169+,210-
plasmid_13;246+,351+,144+,273-,78+,86-,100+,93+,216+,15+,253-,303-,182+,359-,85+,350+,115-
plasmid_14;122-,293-,338+,39-,86-,100+,93+,216+,36-,73-,48-,197-,306-,104-,242+,5-,147-
plasmid_15;86-,100+,93+
plasmid_16;120-,155+,167+,96-,223-,112+,154-,59+,127-,189+,229-,259+,114+,321-
plasmid_17;122-,64+,116-,237+,329+
plasmid_18;281-,274+,129-,150+,160-,185+,311-,226+,52+,127-,190+
plasmid_19;119+,87+,123-
plasmid_20;232+,115+,350-,85-,359+,182-,41+,110-,288+,251+
plasmid_21;320+,254-,26+,67-,14+
plasmid_22;232+,115+,350-,85-,359+,182-,340-,355-,22+,254+,339-,372-,362+,95+
plasmid_23;331+,21+,254+,339-,372-,362+,95+
plasmid_24;218-,33+,71+,18+,335+,157+,176-
plasmid_25;19-,67+,47-,73+,20+,279+,157+,217+
plasmid_26;357+,268-,231+,198-,131+,67+,55+,198-,309+
plasmid_27;115+,349+,85-,360-,182-,354+,370-,272+,3-,89+,32-,67+,69+,166+,336-,214+,161-,9+,221+,175-
plasmid_28;210+,168+,240+,83+,207+,46+,103+
plasmid_29;103+
plasmid_30;206-,312-,88+,8+,72+,145+,166+,336-,214+,161-,74-,161+
plasmid_31;166+,336-,214+,161-
plasmid_32;51-,178+
plasmid_33;208-,332-,126-,220+,141-,1-,191+
plasmid_34;184+,322+,191+
