plasmid_0;109+,141+,62-,202-,176+
plasmid_1;164+,78+,192-,173-,187-,201+,188-,147+,190+,191+,140-,17-,164-,167+,68+,146+,93+,151-,103-,146+,96+,126+,149+,190+,192-
plasmid_2;173-,74+,120+,190+,192-,173-,187-,201+,188-,147+,190+,191+,140-,13-,185-,178-
plasmid_3;188-,130-,142-,98+,169+,174-,128+,143+,89+,124+,83+,162+,171+,67+,136+,91-,190+,192-,173-,187-,201+,188-,147+,190+,191+,140-,105+,172+
plasmid_4;178+,184+,157+,151-,123+
plasmid_5;135+,188+,201-,187+,173+,192+,190-,77+,179+,181+,198+,80+,146-,50-,118-,37+,138+,57+,172+
plasmid_6;135+,188+,201-,187+,173+,192+,190-,71-,201-
plasmid_7;135+,188+,201-,187+,173+,192+,190-,121-,188+
plasmid_8;181-,179-,111+,119-,179+
plasmid_9;154+,185-,178-
plasmid_10;175-,199+,180-,172-,107+
plasmid_11;172-,115+,153-,60-,151+,9-,140+,191-,190-,136+,91-,190+,192-,173-,74+,81+,195-,186-,168+
plasmid_12;178+,184+,87-,172+,190+,192-,173-,74+,81+,195-,186-,168+
plasmid_13;182+,95+
plasmid_14;175-,199+,116+
plasmid_15;87+,184-,178-
plasmid_16;125+
plasmid_17;100+,197+,48-,187+,173+,192+,190-,136+,82+,142-,36+,134-,52+,142+,59+,146-,30-,151+,64-,142-,4-,151-,12-,206-
plasmid_18;201-,187+,173+,192+,190-,136+,82+
plasmid_19;168-,122+,145+,137+,155+,140-,53+
plasmid_20;168-,186+,196-,94+,166-,5-
plasmid_21;201-,187+,173+,192+,190-,91+
plasmid_22;114+
plasmid_23;113+
plasmid_24;189+,106-,139+,20+,144+,70-,139-,39-,126-,24-,139-,6-,167-,79-,141-,11+,145+,35-
plasmid_25;145+
plasmid_26;40-,140+,56-,133+,54+,140-,65-,139+,99+,195-
plasmid_27;197+,88-,140+,29-,140+,66+,139-,63-,134+,76+,139-,43-,133+,73+
plasmid_28;201-,187+,173+,192+,190-
plasmid_29;173+,192+
plasmid_30;176-,203+,45+,144+,32+,202-,176+
plasmid_31;168-,186+,194+,104+,153+,34-,164-,167+,14-,140-
plasmid_32;47-,153+
plasmid_33;75+,153+
plasmid_34;148-,139+,33-
plasmid_35;27+,139+,152-,134-,86+,195-
plasmid_36;61-,139+,97-
plasmid_37;92+,139+,23+
plasmid_38;90+,118+,46-
plasmid_39;134+,132-
plasmid_40;193+,41+,167-,164+,18+,193-
plasmid_41;167-,164+,84+
