plasmid_0;139+,288+
plasmid_1;168+,213-
plasmid_2;278-,277+,2+,91+,22+,91-,65-,91+,45+,91+,60+,91+,85-,91-,59+,91-,28+,91+,15-,61+,5-
plasmid_3;150+,212-,91+,45+,91+,69+,232-
plasmid_4;249+,288+,235-,240+,103-,157-,286+,219+,165+,202+,251-,231+,179+,220-,101+,285+,299-,62+,52-,210+
plasmid_5;235-,240+,105+,157-,287-,219+,164+,202+,252+,231+,180-,220-,96+,207+
plasmid_6;96+,207+
plasmid_7;228-,237+,181+,120+,150-
plasmid_8;228-,238-,181+,130-,71-,66+,119+,64+,95+,9+,63-,71-,14+,72-,36+,177+,16+,62+,21+,199-
plasmid_9;269+,262-,160-,76-,211-,47+,124+
plasmid_10;81+,153-,183-,217-,244-,222+,83-,227+,275+,113-,135-,223-,50+,125+,129-,232+
plasmid_11;217+,184+,153+,79-,138+,80+,88-,89+,94-,214-,67+,208-
plasmid_12;62-,299+,274-,302-,204-,264-,73-,31+,223+,137+
plasmid_13;62-,299+,274-,204-,265-,73-,40+,160+,262+,269-
plasmid_14;113+,276-,227-,84+,222-,245-,217+,184+,153+,79-
plasmid_15;113+,276-,227-,84+
plasmid_16;208+,48+,138-
plasmid_17;51+,72-,117+
plasmid_18;142-,158+,144-,162+,191-,298+,140-,268-,197-,87+,116-
plasmid_19;210-,46+,235+
plasmid_20;116+,98+,197+,267+,140+,297-,191+,161+,144+,159+,142+
plasmid_21;98+
plasmid_22;146-,109+,206+,166-
plasmid_23;133+,301-,24+
plasmid_24;270-,295-,194+,152+,239+,99+,259+,112-,8+,171+,71+,63+,1+,72+,27+
plasmid_25;71+,42+,63-,71-,171-,247+,124+
plasmid_26;70+,176+
plasmid_27;70+,154+,279+
plasmid_28;178+,108-,107+,171+,63+,6-,95-,119-,11+,192-,266+,56-,236+,154-
plasmid_29;133+,301-,10+,61+,43+,171+,63+,57+,106+
plasmid_30;4-,95-,119-,39-,171+
plasmid_31;61+,68+
plasmid_32;154+,236-,56+,266-
plasmid_33;56+,266-
plasmid_34;212-,91+,69+
plasmid_35;198+,34+,111+
plasmid_36;111+
plasmid_37;163-,206-,110+,146+
plasmid_38;90-,54-,160+,216-
plasmid_39;155+,17-,209-,35-,160+,216-
plasmid_40;160-,75-,160+
plasmid_41;133+,301-,74-
plasmid_42;133+,301-,3-,114-,257-,90-,18-,225-,250-,203-
plasmid_43;102+
